Type,Red Value,Yellow Value,White Value,??? Value,Color,Seed Bag
Rose,0,0,0,0,White,0
Rose,0,0,0,1,White,0
Rose,0,0,0,2,White,0
Rose,0,0,1,0,White,1
Rose,0,0,1,1,White,0
Rose,0,0,1,2,White,0
Rose,0,0,2,0,Purple,0
Rose,0,0,2,1,Purple,0
Rose,0,0,2,2,Purple,0
Rose,0,1,0,0,Yellow,0
Rose,0,1,0,1,Yellow,0
Rose,0,1,0,2,Yellow,0
Rose,0,1,1,0,White,0
Rose,0,1,1,1,White,0
Rose,0,1,1,2,White,0
Rose,0,1,2,0,Purple,0
Rose,0,1,2,1,Purple,0
Rose,0,1,2,2,Purple,0
Rose,0,2,0,0,Yellow,1
Rose,0,2,0,1,Yellow,0
Rose,0,2,0,2,Yellow,0
Rose,0,2,1,0,Yellow,0
Rose,0,2,1,1,Yellow,0
Rose,0,2,1,2,Yellow,0
Rose,0,2,2,0,White,0
Rose,0,2,2,1,White,0
Rose,0,2,2,2,White,0
Rose,1,0,0,0,Red,0
Rose,1,0,0,1,Pink,0
Rose,1,0,0,2,White,0
Rose,1,0,1,0,Red,0
Rose,1,0,1,1,Pink,0
Rose,1,0,1,2,White,0
Rose,1,0,2,0,Red,0
Rose,1,0,2,1,Pink,0
Rose,1,0,2,2,Purple,0
Rose,1,1,0,0,Orange,0
Rose,1,1,0,1,Yellow,0
Rose,1,1,0,2,Yellow,0
Rose,1,1,1,0,Red,0
Rose,1,1,1,1,Pink,0
Rose,1,1,1,2,White,0
Rose,1,1,2,0,Red,0
Rose,1,1,2,1,Pink,0
Rose,1,1,2,2,Purple,0
Rose,1,2,0,0,Orange,0
Rose,1,2,0,1,Yellow,0
Rose,1,2,0,2,Yellow,0
Rose,1,2,1,0,Orange,0
Rose,1,2,1,1,Yellow,0
Rose,1,2,1,2,Yellow,0
Rose,1,2,2,0,Red,0
Rose,1,2,2,1,Pink,0
Rose,1,2,2,2,White,0
Rose,2,0,0,0,Black,0
Rose,2,0,0,1,Red,1
Rose,2,0,0,2,Pink,0
Rose,2,0,1,0,Black,0
Rose,2,0,1,1,Red,0
Rose,2,0,1,2,Pink,0
Rose,2,0,2,0,Black,0
